Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Application type","Decision level",App_pc,Applied
2011,-,Iraq,-,IRQ,U,N,AR,P,5
2011,-,Iraq,-,IRQ,U,NR,FA,P,1673
2011,-,Iraq,-,IRQ,G,SP,SP,P,16
2011,-,Iraq,-,IRQ,U,R,RA,P,27
2011,-,Iraq,-,IRQ,U,N,FA,P,5
2011,-,Iraq,-,IRQ,G,R,FA,P,69
2011,-,Iraq,-,IRQ,G,R,TA,P,7
2011,-,Iraq,-,IRQ,G,N,FI,C,8
2011,-,Iraq,-,IRQ,U,NA,FA,P,317
2011,-,Iraq,-,IRQ,U,A,FA,P,178
2011,-,Iraq,-,IRQ,G,A,JR,C,32
2011,-,Iraq,-,IRQ,G,A,EO,P,157
2011,-,Iraq,-,IRQ,G,N,IN,C,329
2012,-,Iraq,-,IRQ,U,N,FI,P,9167
2012,-,Iraq,-,IRQ,G,N,FI,P,7403
2012,-,Iraq,-,IRQ,G,A,AR,C,193
2012,-,Iraq,-,IRQ,G,NA,FA,P,933
2012,-,Iraq,-,IRQ,G,R,RA,P,1223
2012,-,Iraq,-,IRQ,G,NR,FA,P,283
2012,-,Iraq,-,IRQ,U,NR,FA,P,1880
2012,-,Iraq,-,IRQ,G,A,AR,P,344
2012,-,Iraq,-,IRQ,G,N,AR,P,527
2012,-,Iraq,-,IRQ,G,N,FA,P,5
2012,-,Iraq,-,IRQ,G,N,NA,P,5352
2012,-,Iraq,-,IRQ,G,R,FI,P,28
2012,-,Iraq,-,IRQ,U,N,FA,P,472
2012,-,Iraq,-,IRQ,G,N,SP,P,9
2012,-,Iraq,-,IRQ,U,A,AR,P,136
2012,-,Iraq,-,IRQ,U,R,RA,P,76
2012,-,Iraq,-,IRQ,G,NR,AR,P,5
2012,-,Iraq,-,IRQ,G,R,FA,P,45
2012,-,Iraq,-,IRQ,U,A,FA,P,169
2012,-,Iraq,-,IRQ,G,A,EO,P,112
2012,-,Iraq,-,IRQ,G,N,IN,C,480
2013,-,Iraq,-,IRQ,U,NR,FA,P,4620
2013,-,Iraq,-,IRQ,G,N,FI,P,6847
2013,-,Iraq,-,IRQ,G,A,AR,C,228
2013,-,Iraq,-,IRQ,G,NR,FA,P,476
2013,-,Iraq,-,IRQ,U,N,FI,P,28070
2013,-,Iraq,-,IRQ,G,R,RA,P,1091
2013,-,Iraq,-,IRQ,G,R,AR,P,455
2013,-,Iraq,-,IRQ,G,A,AR,P,1330
2013,-,Iraq,-,IRQ,G,NA,FA,P,479
2013,-,Iraq,-,IRQ,G,N,NA,P,3958
2013,-,Iraq,-,IRQ,U,R,AR,P,5
2013,-,Iraq,-,IRQ,U,A,AR,P,282
2013,-,Iraq,-,IRQ,G,N,SP,P,6
2013,-,Iraq,-,IRQ,U,R,RA,P,136
2013,-,Iraq,-,IRQ,G,J,JR,P,5
2013,-,Iraq,-,IRQ,G,N,FA,P,6
2013,-,Iraq,-,IRQ,U,N,AR,P,5
2013,-,Iraq,-,IRQ,G,N,RA,P,324
2013,-,Iraq,-,IRQ,G,N,TA,P,15
2013,-,Iraq,-,IRQ,U,NA,FA,P,250
2013,-,Iraq,-,IRQ,G,N,EO,P,62
2013,-,Iraq,-,IRQ,G,N,IN,C,903
